Date,People
2021-08-22T00:00:00,32
2021-08-23T00:00:00,31
2021-08-24T00:00:00,41
2021-08-25T00:00:00,34
2021-08-26T00:00:00,40
2021-08-27T00:00:00,26
2021-08-28T00:00:00,30
2021-08-29T00:00:00,36
2021-08-30T00:00:00,32
2021-08-31T00:00:00,32
2021-09-01T00:00:00,38
2021-09-02T00:00:00,31
2021-09-03T00:00:00,32
2021-09-04T00:00:00,41
2021-09-05T00:00:00,32
2021-09-06T00:00:00,33
2021-09-07T00:00:00,63
2021-09-08T00:00:00,44
2021-09-09T00:00:00,40
2021-09-10T00:00:00,34
2021-09-11T00:00:00,44
2021-09-12T00:00:00,31
2021-09-13T00:00:00,346
2021-09-14T00:00:00,181
2021-09-15T00:00:00,122
2021-09-16T00:00:00,70
2021-09-17T00:00:00,59
2021-09-18T00:00:00,64
2021-09-19T00:00:00,76
2021-09-20T00:00:00,48
2021-09-21T00:00:00,55
2021-09-22T00:00:00,34
2021-09-23T00:00:00,35
2021-09-24T00:00:00,34
2021-09-25T00:00:00,42
2021-09-26T00:00:00,35
2021-09-27T00:00:00,54
2021-09-28T00:00:00,35
2021-09-29T00:00:00,36
2021-09-30T00:00:00,29
2021-10-01T00:00:00,35
2021-10-02T00:00:00,41
2021-10-03T00:00:00,21
2021-10-04T00:00:00,26
2021-10-05T00:00:00,48
2021-10-06T00:00:00,33
2021-10-07T00:00:00,23
2021-10-08T00:00:00,31
2021-10-09T00:00:00,29
2021-10-10T00:00:00,34
2021-10-11T00:00:00,37
2021-10-12T00:00:00,27
2021-10-13T00:00:00,30
2021-10-14T00:00:00,32
2021-10-15T00:00:00,25
2021-10-16T00:00:00,20
2021-10-17T00:00:00,30
2021-10-18T00:00:00,26
2021-10-19T00:00:00,30
2021-10-20T00:00:00,25
2021-10-21T00:00:00,23
2021-10-22T00:00:00,28
2021-10-23T00:00:00,22
2021-10-24T00:00:00,32
2021-10-25T00:00:00,13
2021-10-26T00:00:00,27
2021-10-27T00:00:00,26
2021-10-28T00:00:00,40
2021-10-29T00:00:00,42
2021-10-30T00:00:00,22
2021-10-31T00:00:00,23
2021-11-01T00:00:00,25
2021-11-02T00:00:00,30
2021-11-03T00:00:00,31
2021-11-04T00:00:00,30
2021-11-05T00:00:00,31
2021-11-06T00:00:00,31
2021-11-07T00:00:00,25
2021-11-08T00:00:00,29
2021-11-09T00:00:00,24
2021-11-10T00:00:00,26
2021-11-11T00:00:00,23
2021-11-12T00:00:00,34
2021-11-13T00:00:00,26
2021-11-14T00:00:00,29
2021-11-15T00:00:00,22
2021-11-16T00:00:00,27
2021-11-17T00:00:00,34
2021-11-18T00:00:00,25
2021-11-19T00:00:00,41
2021-11-20T00:00:00,48
2021-11-21T00:00:00,36
2021-11-22T00:00:00,21
2021-11-23T00:00:00,19
2021-11-24T00:00:00,28
2021-11-25T00:00:00,30
2021-11-26T00:00:00,25
2021-11-27T00:00:00,28
2021-11-28T00:00:00,27
2021-11-29T00:00:00,27
2021-11-30T00:00:00,32
2021-12-01T00:00:00,24
2021-12-02T00:00:00,30
2021-12-03T00:00:00,21
2021-12-04T00:00:00,23
2021-12-05T00:00:00,19
2021-12-06T00:00:00,32
2021-12-07T00:00:00,26
2021-12-08T00:00:00,21
2021-12-09T00:00:00,28
2021-12-10T00:00:00,14
2021-12-11T00:00:00,28
2021-12-12T00:00:00,18
2021-12-13T00:00:00,38
2021-12-14T00:00:00,32
2021-12-15T00:00:00,26
2021-12-16T00:00:00,22
2021-12-17T00:00:00,21
2021-12-18T00:00:00,14
2021-12-19T00:00:00,33
2021-12-20T00:00:00,29
2021-12-21T00:00:00,20
2021-12-22T00:00:00,27
2021-12-23T00:00:00,29
2021-12-24T00:00:00,23
2021-12-25T00:00:00,22
2021-12-26T00:00:00,23
2021-12-27T00:00:00,23
2021-12-28T00:00:00,30
2021-12-29T00:00:00,25
2021-12-30T00:00:00,2
